Gaia DR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc
Gaia DR3 5504552514599147136,104.7134768,-52.2976039,16.694,3.033,4.424,5.2743,14.8192,29.73,nan,nan,6.837,M4.2,nan,nan,1.010,nan,None
Gaia DR3 5562463100542584320,103.1650176,-42.5044459,6.427,0.550,3.303,4.6566,14.8731,29.36,28.94,1.91,6.990,F4.1,nan,0.06,8.909,nan,Gaia DR3
Gaia DR3 5559242287387503872,105.5068441,-43.9811392,20.078,2.399,1.704,3.0881,14.9900,29.30,nan,nan,6.089,M2.7,nan,nan,1.031,nan,None
Gaia DR3 5556148605264157696,100.0413027,-44.6360173,12.680,1.398,0.569,4.0564,15.0789,29.76,30.74,1.76,7.096,K4.7,nan,0.03,3.399,nan,Gaia DR3
Gaia DR3 5558169718092545920,106.7889458,-45.3080697,15.919,2.754,1.223,2.2217,15.1119,29.29,nan,nan,7.254,M3.6,nan,nan,1.006,nan,None
Gaia DR3 5563411158740625408,102.0888316,-41.7740020,17.460,3.213,1.980,5.5822,15.1297,29.37,nan,nan,6.476,M4.6,nan,nan,0.969,nan,None
Gaia DR3 5510379891868246528,110.5695931,-46.5667964,16.118,2.787,1.211,4.0094,15.1747,29.02,nan,nan,7.109,M3.7,nan,nan,0.961,nan,None
Gaia DR3 5498573920120612992,103.3497269,-52.5399378,18.969,3.350,2.003,5.5899,15.2794,29.83,nan,nan,6.787,M5.0,nan,0.40,0.986,nan,None
Gaia DR3 5502435228866364416,99.1335216,-51.5904476,18.735,3.483,4.015,5.8503,15.5104,30.07,nan,nan,6.661,M5.3,nan,nan,1.162,nan,None
Gaia DR3 5498573920122510976,103.3511225,-52.5405670,15.820,2.553,1.789,5.5903,15.5285,29.83,nan,nan,6.828,M3.2,nan,0.40,1.031,nan,None
Gaia DR3 5569411876591510400,100.2477477,-42.3164138,12.324,1.236,2.247,5.6905,15.5574,29.56,26.99,0.93,6.792,K3.3,nan,0.07,0.930,nan,Gaia DR3
